english,type,vietnamese,pronounce,explain,example,example_vietnamese,image_url,mp3_url,topic,topic_url
responsibility,n.,"Trách nhiệm, bổn phận","/ris,pɔnsə'biliti/","A duty to deal with or take care of someone or something, so that it is your fault if something goes wrong","The product development department has a huge responsibility to be sure that the product is safe, even if used improperly.","Bộ phận phát triển sản phẩm có một trách nhiệm to lớn là phải chắc rằng sản phẩm là an toàn, cho dù là sử dụng không đúng cách.",https://audio.tflat.vn/data/images_example/300x225/t/h/the_produc_ex1_580ec4197f8b9ae2888b458a.jpg,https://audio.tflat.vn/audio/r/e/responsibility.mp3,Product Development,https://tienganhtflat.com/blog/toeic-words-product-development
solve,v.,"Giải quyết, tìm giải pháp",/sɔlv/,To find a way of dealing with a problem or difficult situation,You can't solve anything by just running away.,Cậu không thể giải quyết vấn đề bằng cách bỏ chạy được.,https://audio.tflat.vn/data/cache/images/300x225/s/o/solve2.png,https://audio.tflat.vn/audio/s/o/solve.mp3,Product Development,https://tienganhtflat.com/blog/toeic-words-product-development
supervisor,n.,Người giám sát,/'sju:pəvaizə/,An daministrator in charge,I have a meeting with my supervisor about my research topic.,Tôi có một cuộc họp với người giám sát của tôi về chủ đề nghiên cứu.,https://audio.tflat.vn/data/cache/images/300x225/s/u/supervisor2.png,https://audio.tflat.vn/audio/s/u/supervisor.mp3,Product Development,https://tienganhtflat.com/blog/toeic-words-product-development
systematically,adv.,"Có hệ thống, có phương pháp (methodically)",/ˌsɪstəˈmætɪkli/,Done according to a system or plan,"While creative thinking is necessary, analyzing a problem systematically is indispensable.","Trong khi mà sự suy nghĩ sáng tạo là cần thiết, thì việc phân tích một vấn đề một cách có hệ thống là không thể thiếu được.",https://audio.tflat.vn/data/cache/images/300x225/s/y/systematically1.png,https://audio.tflat.vn/audio/s/y/systematically.mp3,Product Development,https://tienganhtflat.com/blog/toeic-words-product-development
basis,n.,"Nền tảng, cơ sở, căn cứ",/'beisis/,The reason why people take a particular action,The manager didn't have any basis for firing the employee.,Người trưởng phòng không có bất kỳ cơ sở nào cho việc sa thải người nhân viên.,https://audio.tflat.vn/data/cache/images/300x225/b/a/basis.jpg,https://audio.tflat.vn/audio/b/a/basis.mp3,Salaries & Benefits,https://tienganhtflat.com/blog/toeic-words-salaries-benefits
benefit,n.,Lợi ích,/'benifit/,An advantage that something gives you,The discovery of oil brought many benefits to the country.,Việc phát hiện ra dầu hỏa mang đến nhiều lợi ích cho đất nước đó.,https://audio.tflat.vn/data/images_example/300x225/t/h/the_discov_ex1_56248d157f8b9a040dc65ecc.jpg,https://audio.tflat.vn/audio/b/e/benefit.mp3,Salaries & Benefits,https://tienganhtflat.com/blog/toeic-words-salaries-benefits
compensate,v.,"Bù, đền bù, bồi thường",/'kɔmpenseit/,"To provide something good to balance or reduce the bad effects of damage, loss","If you are injured in a traffic accident, you can be compensated for your losses.","Nếu bạn bị thương trong một tai nạn giao thông, bạn có thể được bồi thường mọi thiệt hại. ",https://audio.tflat.vn/data/cache/images/300x225/c/o/compensate1.png,https://audio.tflat.vn/audio/c/o/compensate.mp3,Salaries & Benefits,https://tienganhtflat.com/blog/toeic-words-salaries-benefits
delicately,adv.,"‹một cách› tinh vi, tế nhị, lịch thiệp",/ˈdelɪkət/,Easily damaged or broken,The manager delicately asked about the health of his client.,Người trưởng phòng tế nhị hỏi thăm sức khỏe khách hàng của anh ta.,https://audio.tflat.vn/data/cache/images/300x225/d/e/delicately1.jpg,https://audio.tflat.vn/audio/d/e/delicately.mp3,Salaries & Benefits,https://tienganhtflat.com/blog/toeic-words-salaries-benefits
eligible,adj.,"Thích hợp, đủ tư cách, đủ tiêu chuẩn; có thể chọn được",/ˈɛlɪdʒɪb(ə)l/,"Able to practicipate in something, qualified",Who is eligible to become president?,Ai sẽ đủ tiêu chuẩn để trở thành tổng thống?,https://audio.tflat.vn/data/cache/images/300x225/e/l/eligible2.jpg,https://audio.tflat.vn/audio/e/l/eligible.mp3,Salaries & Benefits,https://tienganhtflat.com/blog/toeic-words-salaries-benefits
flexibly,adv.,"‹một cách› mềm dẻo, linh hoạt, linh động",/ˈfleksəbl/,Able to change to suit new conditions or situations,"My manager thinks flexibly, enabling herself to solve many sticky problems.","Trưởng phòng của tôi suy nghĩ linh hoạt, cho phép bà tự giải quyết nhiều vấn đề khó chịu.",https://audio.tflat.vn/data/cache/images/300x225/f/l/flexibly.jpg,https://audio.tflat.vn/audio/f/l/flexibly.mp3,Salaries & Benefits,https://tienganhtflat.com/blog/toeic-words-salaries-benefits
negotiate,v.,"Thương lượng, đàm phán, điều đình",/ni'gouʃieit/,To try to reach an agreement by formal discussion,You must know what you want and what you can accept when you negotiate a salary.,Anh phải biết mình muốn gì và mình có thể chấp nhận gì khi thương lượng về lương bổng.,https://audio.tflat.vn/data/cache/images/300x225/n/e/negotiate1.png,https://audio.tflat.vn/audio/n/e/negotiate.mp3,Salaries & Benefits,https://tienganhtflat.com/blog/toeic-words-salaries-benefits
retire,v.,Nghỉ hưu,/ri'taiə/,"To stop doing your job, especially because you have reached a particular age",She was forced to retire early from teaching because of ill health.,Cô bị buộc phải nghỉ hưu sớm trong việc giảng dạy vì lý do sức khỏe.,https://audio.tflat.vn/data/cache/images/300x225/r/e/retire1.png,https://audio.tflat.vn/audio/r/e/retire.mp3,Salaries & Benefits,https://tienganhtflat.com/blog/toeic-words-salaries-benefits
vested,adj.,"Được trao, được ban",/'vestid/,To give somebody the legal right or power to do something,"The day that Ms. Weng became fully vested in the retirement plan, she gave her two weeks' notice.","Ngày mà bà Weng được trao đầy đủ kế hoạch nghỉ hưu, bà đã nhận thông báo trước 2 tuần.",https://audio.tflat.vn/data/cache/images/300x225/v/e/vested1.jpg,https://audio.tflat.vn/audio/v/e/vested.mp3,Salaries & Benefits,https://tienganhtflat.com/blog/toeic-words-salaries-benefits
wage,n.,"Tiền công, tiền lương (thường trả theo giờ)",/weidʤ/,"A regular amount of money that you earn, usually every week, for work",Hourly wages have increase by 20 percent over the last two years.,Tiền công theo giờ đã tăng 20% qua 2 năm vừa rồi.,https://audio.tflat.vn/data/cache/images/300x225/w/a/wage1.png,https://audio.tflat.vn/audio/w/a/wage.mp3,Salaries & Benefits,https://tienganhtflat.com/blog/toeic-words-salaries-benefits
be aware of,v.,"Am hiểu, biết",/bi: ə'weə əv/,To be conscious of,Are you aware of the new employee's past work history?,Anh có biết về lịch sử làm việc trước đây của người nhân viên mới không?,https://audio.tflat.vn/data/cache/images/300x225/b/e/be_aware_of.jpg,https://audio.tflat.vn/audio/b/e/be_aware_of.mp3,Salaries & Benefits,https://tienganhtflat.com/blog/toeic-words-salaries-benefits
raise,v.,"Nâng lên, đưa lên",/reiz/,N: an increase in salary; v: to move up,The government plans to raise taxes.,Chính phủ đang có kế hoạch tăng mức thuế.,https://audio.tflat.vn/data/cache/images/300x225/r/a/raise1.png,https://audio.tflat.vn/audio/r/a/raise.mp3,Salaries & Benefits,https://tienganhtflat.com/blog/toeic-words-salaries-benefits
aware,adj.,"Biết, nhận thức",/ə'weə/,Knowing or realizing something,My dentist made me aware that I should have an appointment twice a year.,Nha sĩ của tôi làm cho tôi biết rằng tôi nên hẹn gặp 2 lần mỗi năm.,https://audio.tflat.vn/data/images_example/300x225/m/y/my_dentist_ex1_56248d167f8b9a040dc66260.jpg,https://audio.tflat.vn/audio/a/w/aware.mp3,Dentist's Office,https://tienganhtflat.com/blog/toeic-words-dentist-s-office
catch up,v.,"Làm kịp, kịp thời gian",/katʃ ʌp/,To bring up to date,The dental assistant was able to catch up on her paperwork in between patients.,Người trợ tá nha sĩ đã kịp làm công việc giấy tờ của mình giữa các lần khám bệnh nhân.,https://audio.tflat.vn/data/cache/images/300x225/c/a/catch_up1.jpg,https://audio.tflat.vn/audio/c/a/catch_up.mp3,Dentist's Office,https://tienganhtflat.com/blog/toeic-words-dentist-s-office
distraction,n.,"‹sự› sao nhãng, lãng trí, rối trí; sự giải trí, trò tiêu khiển",/dis'trækʃn/,A thing that takes your attention away from what you are doing,"To provide a distraction from the noise, Luisa's dentist offered her a pair of earphones.","Để tránh khỏi tiếng ồn, nha sĩ của Luisa đã đưa ra cho cô một cặp tai nghe.",https://audio.tflat.vn/data/cache/images/300x225/d/i/distraction.jpg,https://audio.tflat.vn/audio/d/i/distraction.mp3,Dentist's Office,https://tienganhtflat.com/blog/toeic-words-dentist-s-office
encouragement,n.,"Khuyến khích, cổ vũ, niềm động viên",/in'kʌridʤmənt/,The act of encouraging someone to do something,Let me offer you some encouragement about your crooked teeth.,Để tôi sẵn sàng cho anh vài sự động viên về hàm răng lệch lạc của anh.,https://audio.tflat.vn/data/cache/images/300x225/e/n/encouragement2.jpg,https://audio.tflat.vn/audio/e/n/encouragement.mp3,Dentist's Office,https://tienganhtflat.com/blog/toeic-words-dentist-s-office
evident,adj.,"Hiển nhiên, rõ ràng",/'evidənt/,Clear; easily seen,The presence of a wisdom tooth was not evident until the dentist started to examine the patient.,Sự có mặt của cái răng khôn thì không rõ ràng cho đến khi nha sĩ bắt đầu khám bệnh nhân.,https://audio.tflat.vn/data/cache/images/300x225/e/v/evident1.png,https://audio.tflat.vn/audio/e/v/evident.mp3,Dentist's Office,https://tienganhtflat.com/blog/toeic-words-dentist-s-office
habit,n.,Thói quen,/ˈhæbɪt/,A thing that you do often and almost without thinking,Negative thinking can become a habit.,Suy nghĩ tiêu cực có thể trở thành một thói quen.,https://audio.tflat.vn/data/cache/images/300x225/h/a/habit1.png,https://audio.tflat.vn/audio/h/a/habit.mp3,Dentist's Office,https://tienganhtflat.com/blog/toeic-words-dentist-s-office
illuminate,v.,"Chiếu sáng, làm sáng tỏ",/i'ju:mineit/,To shine light on something,Let me turn on more lights to properly illuminate the back teeth.,Để tôi bật thêm đèn để chiếu sáng đúng mức hàm răng đen.,https://audio.tflat.vn/data/cache/images/300x225/i/l/illuminate1.png,https://audio.tflat.vn/audio/i/l/illuminate.mp3,Dentist's Office,https://tienganhtflat.com/blog/toeic-words-dentist-s-office
irritate,v.,"Kích thích, làm tấy lên, làm rát",/'iriteit/,"To annoy someone, especially by something you continuously do",Aspirin irritates my stomach.,Aspirin kích ứng dạ dày của tôi.,https://audio.tflat.vn/data/images_example/300x225/a/s/aspirin_ir_ex1_56248d167f8b9a040dc66274.jpg,https://audio.tflat.vn/audio/i/r/irritate.mp3,Dentist's Office,https://tienganhtflat.com/blog/toeic-words-dentist-s-office
overview,n.,"Nhìn tồng quát, miêu tả chung, ngắn gọn",/´ouvə¸vju:/,A general description something,I did a quick overview of your teeth and they look in good shape.,Tôi đã khám tổng quát nhanh hàm răng của cô và chúng trông có vẻ tốt.,https://audio.tflat.vn/data/images_example/300x225/i/_/i_did_a_qu_ex1_56248d167f8b9a040dc66278.jpg,https://audio.tflat.vn/audio/o/v/overview.mp3,Dentist's Office,https://tienganhtflat.com/blog/toeic-words-dentist-s-office
position,n.,Vị trí,/pəˈzɪʃn/,The place where someone or something is located,I'm writing to apply for the position of a volunteer guide.,Tôi viết thư để ứng tuyển vị trí hướng dẫn viên tình nguyện.,https://audio.tflat.vn/data/images_example/300x225/i/m/im_writing_ex1_56248cfb7f8b9afa0cb17d50.jpg,https://audio.tflat.vn/audio/p/o/position.mp3,Dentist's Office,https://tienganhtflat.com/blog/toeic-words-dentist-s-office
regularly,adv.,Thường xuyên,/ˈreɡjələli/,At regular intervals or times,Doing physical exercise regularly will make you healthy.,Tập thể dục thường xuyên sẽ làm cho bạn khỏe mạnh.,https://audio.tflat.vn/data/cache/images/300x225/r/e/regularly1.png,https://audio.tflat.vn/audio/r/e/regularly.mp3,Dentist's Office,https://tienganhtflat.com/blog/toeic-words-dentist-s-office
restore,v.,"Hồi phục, khôi phục lại",/ris´tɔ:/,To bring back a situation or feeling that existed before,The cleaning restored the whiteness of my teeth.,Việc làm sạch răng đã phục hồi độ trắng của hàm răng tôi.,https://audio.tflat.vn/data/cache/images/300x225/r/e/restore1.png,https://audio.tflat.vn/audio/r/e/restore.mp3,Dentist's Office,https://tienganhtflat.com/blog/toeic-words-dentist-s-office
media,n.,Truyền thông,/ˈmiːdɪə/,,He became a media star for his part in the protests.,Ông ấy đã trở thành một ngôi sao truyền thông bởi sự tham gia của ông trong các cuộc biểu tình.,https://audio.tflat.vn/data/cache/images/300x225/m/e/media1.jpg,https://audio.tflat.vn/audio/m/e/media.mp3,Media,https://tienganhtflat.com/blog/toeic-words-media
assignment,n.,"‹sự› giao việc, phân công; quy là, cho là",/ə'sainmənt/,A task or piece of work that someone is given to do,This assignment has to be turned in before midnight.,Công việc được giao này phải được thực hiện trước nửa đêm.,https://audio.tflat.vn/data/cache/images/300x225/a/s/assignment-n11.jpg,https://audio.tflat.vn/audio/a/s/assignment-n1.mp3,Media,https://tienganhtflat.com/blog/toeic-words-media
choose,v.,"Chọn, chọn lựa",/tʃuːz/,,It took her a long time to choose a hat.,Cô ấy phải mất một thời gian dài để chọn một cái mũ.,https://audio.tflat.vn/data/images_example/300x225/i/t/it_took_he_ex1_58213ca37f8b9a91078b4567.png,https://audio.tflat.vn/audio/c/h/choose-l6.mp3,Media,https://tienganhtflat.com/blog/toeic-words-media
constantly,adj.,"Luôn luôn, liên tục, liên miên",/'kɔnstəntli/,All the time; repeatedly,The company is constantly looking for highly trained employees.,Công ty không ngừng tìm kiếm những nhân viên được đào tạo tốt.,https://audio.tflat.vn/data/cache/images/300x225/c/o/constantly1.jpg,https://audio.tflat.vn/audio/c/o/constantly.mp3,Media,https://tienganhtflat.com/blog/toeic-words-media
constitute,v.,"Cấu thành, tạo thành, thành lập",/'kɔnstitju:t/,To be considered to be something,What constitutes success?,Điều gì tạo nên thành công?,https://audio.tflat.vn/data/cache/images/300x225/c/o/constitute1.png,https://audio.tflat.vn/audio/c/o/constitute.mp3,Media,https://tienganhtflat.com/blog/toeic-words-media
decision,n.,Quyết định,/di'siʤn/,A choice or judgment that you make after thinking,It is time for me to make a very important decision which can change my life.,Đã đến lúc để tôi đưa ra một quyết định quan trọng có thể thay đổi cả cuộc sống của tôi.,https://audio.tflat.vn/data/cache/images/300x225/d/e/decision1.png,https://audio.tflat.vn/audio/d/e/decision.mp3,Media,https://tienganhtflat.com/blog/toeic-words-media
disseminate,v.,"Truyền bá; phổ biến, gieo rắc (khắp nơi)",/di'semineit/,"To spread information, knowledge, etc. so that it reaches many people",The media disseminates news across the world.,Truyền thông đại chúng phổ biến tin tức đi khắp thế giới.,https://audio.tflat.vn/data/cache/images/300x225/d/i/disseminate.gif,https://audio.tflat.vn/audio/d/i/disseminate.mp3,Media,https://tienganhtflat.com/blog/toeic-words-media
impact,n.,"Sự tác động mạnh, ảnh hưởng mạnh",/ˈɪmpakt/,The powerful effect that something has on someone or something,The story of the presidential scandal had a huge impact on the public.,Bài báo về vụ bê bối của tổng thống đã có tác động to lớn đến công chúng.,https://audio.tflat.vn/data/cache/images/300x225/i/m/impact1.png,https://audio.tflat.vn/audio/i/m/impact.mp3,Media,https://tienganhtflat.com/blog/toeic-words-media
in-depth,adj.,"Cẩn thận, tỉ mỉ, chu đáo, chi tiết",/ɪn dɛpθ/,Very thorough and detailed,The newspaper gave in-depth coverage of the tragic bombing.,Tờ báo đưa tin chi tiết về vụ ném bom bi thảm.,https://audio.tflat.vn/data/cache/images/300x225/i/n/in-depth.jpg,https://audio.tflat.vn/audio/i/n/in-depth.mp3,Media,https://tienganhtflat.com/blog/toeic-words-media
investigate,v.,"Điều tra, nghiên cứu",/in'vestigeit/,"To carefully examine the facts of a situation, an event, a crime, etc",Reporters need to thoroughly investigate the facts before publishing their stories.,Các phóng viên cần phải điều tra kỹ lưỡng về sự kiện trước khi công bố bài báo về chúng.,https://audio.tflat.vn/data/cache/images/300x225/i/n/investigate2.jpg,https://audio.tflat.vn/audio/i/n/investigate.mp3,Media,https://tienganhtflat.com/blog/toeic-words-media
link,n.,"Liên kết, chỗ nối",/liɳk/,A connection between two or more people or things,Police suspect there may be a link between the two murders.,Cảnh sát nghi ngờ có thể có một mối liên kết giữa hai vụ giết người.,https://audio.tflat.vn/data/cache/images/300x225/l/i/link1.png,https://audio.tflat.vn/audio/l/i/link.mp3,Media,https://tienganhtflat.com/blog/toeic-words-media
subscribe,v.,"Đặt mua một cái gì đó định kỳ, đăng ký",/səbˈskraɪb/,To pay an amount of money regularly in order to receive or use something,We subscribe to several sports channels (= on TV).,Chúng tôi đăng ký vào một số kênh thể thao (trên TV).,https://audio.tflat.vn/data/cache/images/300x225/s/u/subscribe1.jpg,https://audio.tflat.vn/audio/s/u/subscribe.mp3,Media,https://tienganhtflat.com/blog/toeic-words-media
thorough,adj.,"Kỹ lưỡng, tỉ mỉ",/'θʌrə/,Done completely; with great attention to detail,The story was the result of thorough research.,Bài báo là kết quả của sự nghiên cứu kỹ lưỡng.,https://audio.tflat.vn/data/cache/images/300x225/t/h/thorough1.png,https://audio.tflat.vn/audio/t/h/thorough.mp3,Media,https://tienganhtflat.com/blog/toeic-words-media
music,n.,Âm nhạc,/ˈmjuːzɪk/,,The poem has been set to music.,Bài thơ đã được phổ nhạc.,https://audio.tflat.vn/data/cache/images/300x225/m/u/music1.jpg,https://audio.tflat.vn/audio/m/u/music.mp3,Music,https://tienganhtflat.com/blog/toeic-words-music
available,adj.,"Có sẵn, sẵn sàng",/əˈveɪləbl/,"That you can get, buy, or find",This was the only room available.,Đây là căn phòng duy nhất có sẵn.,https://audio.tflat.vn/data/images_example/300x225/t/h/this_was_t_ex1_56248d007f8b9afc0c298119.jpg,https://audio.tflat.vn/audio/a/v/available.mp3,Music,https://tienganhtflat.com/blog/toeic-words-music
broaden,v.,Mở rộng,/ˈbrɔːdən/,To become wider,You will appreciate music more if you broaden your tastes and listen to several types of music.,Bạn sẽ biết thưởng thức âm nhạc hơn nếu bạn mở rộng thị hiếu của mình và lắng nghe vài loại âm nhạc.,https://audio.tflat.vn/data/cache/images/300x225/b/r/broaden1.jpg,https://audio.tflat.vn/audio/b/r/broaden.mp3,Music,https://tienganhtflat.com/blog/toeic-words-music
category,n.,"Loại, hạng",/ˈkætəɡɔːri/,Group of people or things with particular features in common,We have various categories of goods here.,Chúng tôi có nhiều loại hàng hóa khác nhau ở đây.,https://audio.tflat.vn/data/images_example/300x225/w/e/we_have_va_ex1_56248d017f8b9afc0c2982b5.jpg,https://audio.tflat.vn/audio/c/a/category.mp3,Music,https://tienganhtflat.com/blog/toeic-words-music
disparate,adj.,Hoàn toàn khác nhau,/'dispərit/,Made up of parts or people that are very different from each other,Religious song cut across disparate categories of music.,Bài hát tôn giáo (thánh ca) tách hẳn ra làm thể loại âm nhạc khác biệt.,https://audio.tflat.vn/data/cache/images/300x225/d/i/disparate1.png,https://audio.tflat.vn/audio/d/i/disparate.mp3,Music,https://tienganhtflat.com/blog/toeic-words-music
divide,v.,"Chia ra, chia",/dɪˈvaɪd/,To separate or make something separate into parts,The English Channel divides England from France.,Kênh Anh chia nước Anh khỏi Pháp.,https://audio.tflat.vn/data/cache/images/300x225/d/i/divide2.png,https://audio.tflat.vn/audio/d/i/divide.mp3,Music,https://tienganhtflat.com/blog/toeic-words-music
favor,v.,"Thích, thiện cảm",/'feivə/,"To prefer one plan, way of doing something, ect to another",Sam enjoys the works of several composers but he tends to favor Mozart.,Sam thưởng thức các tác phẩm của vài nhà soạn nhạc nhưng anh có khuynh hướng thiên về Mozart hơn.,https://audio.tflat.vn/data/cache/images/300x225/f/a/favor-v1.jpg,https://audio.tflat.vn/audio/f/a/favor-v.mp3,Music,https://tienganhtflat.com/blog/toeic-words-music
instinct,n.,"Bản năng, năng khiếu",/in'stiɳkt/,A natural tendency for people and animals to behave in a,"The child's ability to play the cello was so natural, it seemed an instinct.","Khả năng chơi đàn cello của cậu bé này quả là trời cho, nó dường như là 1 bản năng.",https://audio.tflat.vn/data/cache/images/300x225/i/n/instinct1.png,https://audio.tflat.vn/audio/i/n/instinct.mp3,Music,https://tienganhtflat.com/blog/toeic-words-music
prefer,v.,Thích hơn,/prɪˈfɜ:r/,To like one thing or person better than another,I prefer reading a book to watching TV.,Tôi thích đọc sách hơn xem TV.,https://audio.tflat.vn/data/cache/images/300x225/p/r/prefer1.png,https://audio.tflat.vn/audio/p/r/prefer.mp3,Music,https://tienganhtflat.com/blog/toeic-words-music
reason,n.,Lý do,/'ri:zn/,A cause or an explanation for something that has happened,Give me one good reason why I should help you.,Cho tôi một lí do tại sao tôi nên giúp bạn.,https://audio.tflat.vn/data/cache/images/300x225/r/e/reason1.jpg,https://audio.tflat.vn/audio/r/e/reason.mp3,Music,https://tienganhtflat.com/blog/toeic-words-music
relaxation,n.,"Thư giãn, giải trí","/,ri:læk'seiʃn/",Ways of resting and enjoying yourself,These powerful relaxation techniques will help you relieve stress.,Những phương pháp thư giãn tuyệt vời này sẽ giúp bạn bớt căng thẳng.,https://audio.tflat.vn/data/cache/images/300x225/r/e/relaxation1.png,https://audio.tflat.vn/audio/r/e/relaxation.mp3,Music,https://tienganhtflat.com/blog/toeic-words-music
taste,n.,"Vị giác, nếm, sở thích, thị hiếu",/teist/,A person's ability to choose things that people recognize as being of good quality or appropriate,He has very good taste in music.,Anh ấy rất biết thưởng thức âm nhạc.,https://audio.tflat.vn/data/cache/images/300x225/t/a/taste1.png,https://audio.tflat.vn/audio/t/a/taste.mp3,Music,https://tienganhtflat.com/blog/toeic-words-music
urge,v.,"Thúc giục, khuyến cáo",/ə:dʒ/,To advise or try hard to persuade someone to do something,His mother urged him to study the piano.,Mẹ anh ta đã thúc giục anh ta học đàn piano.,https://audio.tflat.vn/data/cache/images/300x225/u/r/urge1.png,https://audio.tflat.vn/audio/u/r/urge.mp3,Music,https://tienganhtflat.com/blog/toeic-words-music
conference,n.,Hội nghị,/ˈkɒnf(ə)r(ə)n/,,"That room is used for exhibitions, conferences and social events.","Căn phòng đó được dùng cho triển lãm, hội nghị và các sự kiện xã hội.",https://audio.tflat.vn/data/cache/images/300x225/c/o/conference1.jpg,https://audio.tflat.vn/audio/c/o/conference.mp3,Conference,https://tienganhtflat.com/blog/toeic-words-conference
accommodate,v.,Làm cho phù hợp,/ə'kɔmədeit/,"To provide somebody with a room or place to sleep, live or sit",The meeting room was large enough to accommodate the various needs of the groups using it.,Phòng họp đủ lớn để phù hợp với nhiều nhu cầu khác nhau của các nhóm sử dụng nó.,https://audio.tflat.vn/data/cache/images/300x225/a/c/accommodate2.jpg,https://audio.tflat.vn/audio/a/c/accommodate.mp3,Conference,https://tienganhtflat.com/blog/toeic-words-conference
arrangement,n.,Sự sắp xếp,/ə'reindʤmənt/,A plan or preparation that you make so that something,"The travel arrangements were taken care of by Sara, Mr. Billing's capable assistant.","Việc thu xếp chuyến đi được chịu trách nhiệm bởi Sara, trợ lý có năng lực của ông Billing.",https://audio.tflat.vn/data/cache/images/300x225/a/r/arrangement2.jpg,https://audio.tflat.vn/audio/a/r/arrangement.mp3,Conference,https://tienganhtflat.com/blog/toeic-words-conference
association,n.,"Hội, hiệp hội","/ə,sousi'eiʃn/",An officcial group of people who have joined together for a particular purpose,I know that ASEAN stands for the Association of Southeast Asian Nations.,Tôi biết rằng ASEAN là viết tắt của Hiệp Hội Các Nước Đông Nam Á.,https://audio.tflat.vn/data/images_example/300x225/i/_/i_know_tha_ex1_580de37b7f8b9a3e688b4579.jpg,https://audio.tflat.vn/audio/a/s/association.mp3,Conference,https://tienganhtflat.com/blog/toeic-words-conference
attend,v.,"Tham dự, có mặt",/ə'tend/,To be present at an even,We expect more than 100 members to attend the annual meeting.,Chúng tôi hy vọng hơn 100 thành viên đến tham dự cuộc họp thường niên.,https://audio.tflat.vn/data/cache/images/300x225/a/t/attend1.jpg,https://audio.tflat.vn/audio/a/t/attend.mp3,Conference,https://tienganhtflat.com/blog/toeic-words-conference
get in touch,v.,Liên lạc với ,/ɡɛt ɪn tʌtʃ/,To communicate / contact with somebody,"As soon as we arrive at the hotel, we will get in touch with the manager about the unexpected guests.","Ngay khi chúng tôi đến khách sạn, chúng tôi sẽ liên hệ với giám đốc về những vị khách không mời mà đến.",https://audio.tflat.vn/data/cache/images/300x225/g/e/get_in_touch2.jpg,https://audio.tflat.vn/audio/g/e/get_in_touch.mp3,Conference,https://tienganhtflat.com/blog/toeic-words-conference
hold,v.,"Chứa, đựng, tổ chức ",/hould/,To have a meeting,This meeting room holds at least 80 people comfortably.,Phòng họp này chứa được thoải mái ít nhất 80 người.,https://audio.tflat.vn/data/images_example/300x225/t/h/this_meeti_ex1_56248d157f8b9a040dc65de8.jpg,https://audio.tflat.vn/audio/h/o/hold.mp3,Conference,https://tienganhtflat.com/blog/toeic-words-conference
location,n.,Vị trí,/lou'keiʃn/,A place where something happens or exists,The location of the meeting was changed from the Red Room to the Green Room.,Vị trí họp đã được thay đổi từ phòng Đỏ sang phòng Xanh.,https://audio.tflat.vn/data/cache/images/300x225/l/o/location1.png,https://audio.tflat.vn/audio/l/o/location.mp3,Conference,https://tienganhtflat.com/blog/toeic-words-conference
overcrowded,adj.,"Chật ních, đông nghịt",/əʊvəˈkraʊdɪd/,With too many people or things,Too many poor people are living in overcrowded conditions.,Có quá nhiều người nghèo đang sống trong điều kiện chật chội.,https://audio.tflat.vn/data/cache/images/300x225/o/v/overcrowded1.jpg,https://audio.tflat.vn/audio/o/v/overcrowded.mp3,Conference,https://tienganhtflat.com/blog/toeic-words-conference
register,v.,Đăng ký,/'redʤistə/,To record somebody / something name on a list,You can register this mail for an additional $2.2.,Anh ấy có thể gửi đảm bảo thư này với một khoản 2.2 đô-la phí bổ sung.,https://audio.tflat.vn/data/cache/images/300x225/r/e/register1.jpg,https://audio.tflat.vn/audio/r/e/register.mp3,Conference,https://tienganhtflat.com/blog/toeic-words-conference
select,v.,"Chọn lựa, chọn lọc",/si'lekt/,To choose somebody / something from a group,They were selected to match her clothes.,Chúng đã được chọn để hợp với trang phục của cô ấy.,https://audio.tflat.vn/data/cache/images/300x225/s/e/select1.png,https://audio.tflat.vn/audio/s/e/select.mp3,Conference,https://tienganhtflat.com/blog/toeic-words-conference
session,n.,"Kỳ họp, buổi họp",/'seʃn/,A period of time that is spent doing a particular activity,"The morning sessions tend to fill up first, so sign up early.","Các phiên họp sáng có khuynh hướng kín chỗ trước hết, vì vậy hãy đăng ký sớm.",https://audio.tflat.vn/data/cache/images/300x225/s/e/session1.png,https://audio.tflat.vn/audio/s/e/session.mp3,Conference,https://tienganhtflat.com/blog/toeic-words-conference
take part in,v.,"Tham dự, tham gia",/teɪk pɑːt ɪn/,To be involved in something,"We could not get enough people to take part in the meeting, so we canceled it.","Chúng tôi không có đủ người tham dự cuộc họp, vì vậy chúng tôi hủy bỏ nó.",https://audio.tflat.vn/data/cache/images/300x225/t/a/take_part_in2.jpg,https://audio.tflat.vn/audio/t/a/take_part_in.mp3,Conference,https://tienganhtflat.com/blog/toeic-words-conference
train,n.,Tàu hỏa,/treɪn/,,We love travelling by train.,Chúng tôi thích đi du lịch bằng tàu hỏa.,https://audio.tflat.vn/data/cache/images/300x225/t/r/train2.jpg,https://audio.tflat.vn/audio/t/r/train.mp3,Trains,https://tienganhtflat.com/blog/toeic-words-trains
comprehensive,adj.,"Bao hàm, toàn diện","/,kɔmpri'hensiv/","Including all, or almost all, the items, details, facts, information, etc., that may be concerned","Our travel agent gave us a comprehensive travel package, including rail passes.","Người đại lý du lịch của chúng tôi trao cho một gói du lịch toàn diện, kể cả đi tàu lửa.",https://audio.tflat.vn/data/cache/images/300x225/c/o/comprehensive2.jpg,https://audio.tflat.vn/audio/c/o/comprehensive.mp3,Trains,https://tienganhtflat.com/blog/toeic-words-trains
